18CTT1
Dinh Ba Tien
1,18125000,Anh,Nguyen Thi,1,3/4/2000,123719372,default,18CTT1
COC2031,2020-2021,Semester 2,8.7,7.8,9.9,8.9
THK2031,2020-2021,Semester 2,9,6.6,8.9,8.2
>
5,19125159,E,Ro,0,1/12/2001,22222222,default,19CLC3
CM101,2019-2020,Semester 1,8.8,6.5,8,7.8
CM102,2019-2020,Semester 1,7.2,6,6.3,6.5
ML204,2019-2020,Semester 1,9.6,6.4,9.3,8.5
PL324,2019-2020,Semester 1,8.5,8.5,9.3,8.8
AI304,2020-2021,Semester 2,8.8,7.2,9.3,8.5
HO2002,2020-2021,Semester 2,6.6,7.7,6,6.7
LO241,2020-2021,Semester 2,8,7.6,8.6,8.1
COC2031,2020-2021,Semester 2,8.5,9.3,6.8,8.1
THK2031,2020-2021,Semester 2,7.8,7,9,8
>
6,19125152,Xuan,Nhat,1,2/4/2001,33333333,default,19CLC3
CM101,2019-2020,Semester 1,8.8,6.2,9.2,8.2
CM102,2019-2020,Semester 1,6.9,6.4,7.2,6.9
ML204,2019-2020,Semester 1,9.7,9.4,7.8,8.9
PL324,2019-2020,Semester 1,7.5,6,8.4,7.4
>
*
20HOH1
Tran Van Chien
1,20125030,Triet,Phan Minh,0,4/9/2002,2585933,default,20HOH1
CS162,2019-2020,Semester 2,7.1,7.6,10,8.4
MTH251,2019-2020,Semester 2,9.2,9.9,6.1,8.2
PH212,2019-2020,Semester 2,6.3,6.2,8.9,7.3
BAA00004,2019-2020,Semester 2,9.9,6.1,9.7,8.7
BAA00102,2019-2020,Semester 2,9.5,9.5,6.2,8.2
MTH221,2020-2021,Semester 1,6.5,8.5,8.1,7.7
>
2,20834208,Van,Nguyen Tien,0,3/2/2001,90889839,default,20HOH1
>
3,20039491,Hung,Pham Hoang Nhat,0,2/2/2002,23908029,default,20HOH1
CS162,2019-2020,Semester 2,9,6.4,7.1,7.5
MTH251,2019-2020,Semester 2,9.3,6.4,8.9,8.3
PH212,2019-2020,Semester 2,7,8.1,7.8,7.7
BAA00004,2019-2020,Semester 2,6.9,8.3,7.9,7.7
BAA00102,2019-2020,Semester 2,8.5,9.3,6.3,7.9
AR33,2019-2020,Semester 3,6.2,7.4,9.8,8
MTH221,2020-2021,Semester 1,8.7,8.5,9.8,9.1
>
4,20284030,Khanh,Do Van,1,3/11/2002,23891203,default,20HOH1
CS162,2019-2020,Semester 2,7.7,8.3,9.5,8.6
MTH251,2019-2020,Semester 2,8.4,6.4,6.3,7
PH212,2019-2020,Semester 2,7.8,9.7,8.6,8.7
BAA00004,2019-2020,Semester 2,7.5,6.7,8.5,7.7
BAA00102,2019-2020,Semester 2,6.2,9.6,7.5,7.7
AR33,2019-2020,Semester 3,6.4,7.9,8.4,7.7
MTH221,2020-2021,Semester 1,7.9,7.5,6.2,7.1
>
5,20329340,Phuong,Dinh Bich,1,3/9/2002,21318239,default,20HOH1
CS162,2019-2020,Semester 2,8.6,9.7,6.1,7.9
MTH251,2019-2020,Semester 2,8.6,9.5,7.4,8.4
PH212,2019-2020,Semester 2,7.3,6.9,6.8,7
BAA00004,2019-2020,Semester 2,7.9,6.3,6.2,6.7
BAA00102,2019-2020,Semester 2,8.5,7.5,7.3,7.7
AR33,2019-2020,Semester 3,8.4,8.9,9.9,9.2
>
*
21APCS1
Ho Tuan Thanh
1,21125034,Binh,Nguyen Truc Nhu,1,3/5/2003,2317321,default,21APCS1
CS161,2021-2022,Semester 1,7.9,8.4,8.2,8.2
MTH23,2021-2022,Semester 1,7.3,9.3,8.5,8.4
PH211,2021-2022,Semester 1,10,8.3,7.6,8.5
BAA00003,2021-2022,Semester 1,9.7,9.1,7.6,8.7
CM101,2021-2022,Semester 1,8.3,6.2,8.2,7.6
CS162,2021-2022,Semester 2,6.4,6,6,6.1
MTH251,2021-2022,Semester 2,8,8.2,8.9,8.4
PH212,2021-2022,Semester 2,8,8.6,9.1,8.6
BAA00004,2021-2022,Semester 2,7.7,6.8,7.7,7.4
BAA00102,2021-2022,Semester 2,7.7,9.9,6.3,7.8
>
2,21125022,Nghia,Nguyen Trong,0,30/11/2003,214434123,default,21APCS1
CS161,2021-2022,Semester 1,9.1,9.4,8.8,9.1
MTH23,2021-2022,Semester 1,8.6,8.6,8.8,8.7
PH211,2021-2022,Semester 1,7.1,7.7,7.7,7.5
BAA00003,2021-2022,Semester 1,6.7,8.4,6.8,7.3
CM101,2021-2022,Semester 1,8.2,6.9,9.2,8.2
CS162,2021-2022,Semester 2,9.6,7.1,8.8,8.5
MTH251,2021-2022,Semester 2,7.8,8.1,9,8.4
PH212,2021-2022,Semester 2,6.7,9,8.5,8.1
BAA00004,2021-2022,Semester 2,6.5,9.8,9.7,8.8
BAA00102,2021-2022,Semester 2,9.7,9,9.4,9.4
>
3,21215111,Thang,Nguyen Huu,0,12/11/2003,123132,default,21APCS1
CS161,2021-2022,Semester 1,9.7,6.2,9.1,8.4
MTH23,2021-2022,Semester 1,6.8,8.7,9.1,8.3
PH211,2021-2022,Semester 1,7.6,8.2,6.6,7.4
BAA00003,2021-2022,Semester 1,6.8,7.3,8.7,7.7
CM101,2021-2022,Semester 1,9.5,7.5,9.9,9.1
CS162,2021-2022,Semester 2,8.4,7.4,6.3,7.3
MTH251,2021-2022,Semester 2,6.3,10,7.4,7.9
PH212,2021-2022,Semester 2,9.4,7.6,9,8.7
BAA00004,2021-2022,Semester 2,8,9.5,7,8.1
BAA00102,2021-2022,Semester 2,9.3,7.2,6.7,7.6
>
*
21CLC2
Nguyen Ngoc Bich
1,21126094,Duong,Pham Ngoc Thuy,1,04/07/2003,123123,default,21CLC2
>
2,21423489,Tran,Nguyen Vo Bao,1,02/03/2003,2322423,default,21CLC2
>
*
